alert_id,timestamp,severity,severity_label,classification,rule_id,host,source_ip,username,playbook,num_actions_taken
ALERT-1001,2026-06-18T03:12:45Z,7,HIGH,Credential Access (MITRE T1110 - Brute Force),RULE-001,WS-FIN-014,203.0.113.45,j.sharma,block_ip_and_notify,2
ALERT-1002,2026-06-18T03:18:02Z,8,HIGH,Initial Access (Possible Compromised Credentials),RULE-002,WS-FIN-014,203.0.113.45,j.sharma,isolate_user_and_notify,2
ALERT-1003,2026-06-18T05:44:10Z,9,CRITICAL,Execution (MITRE T1204 - User Execution),RULE-003,WS-HR-009,10.0.0.27,r.verma,isolate_host_and_notify,2
ALERT-1004,2026-06-18T06:02:55Z,9,CRITICAL,Exfiltration (MITRE T1041 - Exfiltration Over C2 Channel),RULE-004,WS-HR-009,10.0.0.27,r.verma,block_ip_and_isolate_host,3
ALERT-1005,2026-06-18T07:10:33Z,8,HIGH,Privilege Escalation (MITRE T1068),RULE-005,SRV-DB-002,10.0.0.55,svc_backup,disable_account_and_notify,2
ALERT-1006,2026-06-18T08:00:00Z,4,MEDIUM,Reconnaissance (MITRE T1046 - Network Service Scanning),RULE-006,,192.168.1.200,,log_and_notify,2
ALERT-1007,2026-06-18T09:25:17Z,9,CRITICAL,Command and Control (MITRE T1071),RULE-007,WS-DEV-022,10.0.0.31,a.khan,block_ip_and_notify,2
ALERT-1008,2026-06-18T10:40:48Z,8,HIGH,Execution (MITRE T1059.001 - PowerShell),RULE-008,WS-MKT-031,10.0.0.40,p.nair,isolate_host_and_notify,2
ALERT-1009,2026-06-18T11:05:09Z,9,CRITICAL,Defense Evasion (MITRE T1562 - Impair Defenses),RULE-009,SRV-WEB-005,10.0.0.62,t.singh,isolate_host_and_notify,2
ALERT-1010,2026-06-18T12:15:00Z,2,LOW,Informational,RULE-010,WS-OPS-007,10.0.0.18,n.gupta,log_only,1
